Reviewer Name,Review Date,Review Comment
l*****y,2024-02-26,"Quality:Good Performance:Good  Bought for my son, so far very advisable for those whom looking for earphones that practical for jogging or running."
sakiraela06,2023-07-06,Performance:Good  Both ear cuffs functioning properly. Received á»‰n good condition. Sá»“ recommended
s*****0,2024-01-04,Quality:good Performance:update later  Received in good condition and shape... Thank you
ctputih,2024-01-08,Quality:ok  Semua ok. Berfungsi dengan baik. Sesuai dengan harga ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»
daqsuhaaaa,2023-05-30,Quality:baik Performance:mudahh dan ringkas  Cute suka sgt2.... nnti nak order lagi utk suami.. terima kasih seller barang berkualiti ğŸ«°ğŸ»
feleena,2023-05-01,Quality:9/10 Performance:Good  Functioning very well and easy to wear. Love it so much!
acapnuri,2023-11-19,Quality:bagus Performance:mantap cuma xde bass je tapi best  Kualiti kena dengan harga.. selesa pakai tq seller
buzzlie93,2024-02-22,Performance:Ok Quality:Good  Nice grip on the ear...feels like didn't wear anything....but the sound didn't have a good bass..but overall ok for the price
sabbir3271,2023-11-24,Saund quality not best body quality good delivery so late and delivery man is bihebiar is good
,2023-04-07,"Quality:Good and New condition Performance:Amazing, quite good for people that always want to hear music"
a*****5,2023-12-09,Performance:Good ğŸ‘  The product works well. I like it! Thank you.
ridzwanakamal,2023-05-05,Quality:good sound Performance:very good performance  Will repeat by for my spouse
erdie83,2024-01-31,Performance:not function left Quality:bad  Not functional left side.. i want to claim it
zila885,2023-11-13,Performance:ok Quality:good  Barang sampai dalam keadaan baik tiada kerosakkan. Berfungsi dengan baik.
chazmang07,2024-01-14,"Quality:good Performance:best  Seller ok, cuma delivery lambat.Penghantar barang main campak jer..geram aku..rasa nak tumbuk jer muka org tu.."
aqil_hussain,2023-07-22,Performance:Good Quality:Good  Loving it so far. Putting it on takes getting used to.
connayy,2024-03-05,I mean i know shouldnt expect a perfect earphone but this is just :( but like the audio doesnt sound that great especially loud volumes. But yeah its okay i guess.
sunkungchuan,2023-10-26,Quality:Left side and right side are not pairing. Performance:Poor  Customer service unable to provide valid solution.
